platform,id,sample_position,sort,topic,target,expressed_emotion,trust_or_concern,english_paraphrase,uncertainty,url
youtube,Ugzcc_IssrxOoGGe8o54AaABAg,15,top,Housing and inequality,Economic system,Anger / defiance,Exclusion from ownership,Describes exclusion from major life milestones and welcomes a correction.,Negative toward the status quo can mean positive toward a crash.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugzcc_IssrxOoGGe8o54AaABAg
youtube,UgypXeRvXz0hCxJUxGV4AaABAg,4,top,Environmental policy,Public protections,Concern / constructive,Self-reported local policy,Introduces a Danish policy discussion about pesticides and water.,Self-reported location and policy claim are not independently verified.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgypXeRvXz0hCxJUxGV4AaABAg
youtube,UgwsPYt-EDbKQq4t2pV4AaABAg,13,top,Interview priorities,Host,Disappointment,Collective welfare,Criticizes a pivot from inequality to individual wealth building.,Host criticism is not guest disagreement.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwsPYt-EDbKQq4t2pV4AaABAg
youtube,UgyIe57_5V2fRg0zWGl4AaABAg,40,top,Billionaire credibility,Wealthy speakers,Distrust,Financial incentives,Warns that wealthy people’s behavior matters more than their advice.,Counterexample to a uniformly admiring featured sample.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyIe57_5V2fRg0zWGl4AaABAg
youtube,UgzKXd9w_8BDUk7ty0F4AaABAg,82,top,Philanthropy and incentives,Billionaires / foundations,Distrust,Alleged tax incentives,Questions whether transfers to one’s foundation amount to giving wealth away.,"An allegation about incentives, not verified tax analysis.",https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzKXd9w_8BDUk7ty0F4AaABAg
youtube,UgzdXiHACkb7m-2MAbJ4AaABAg,93,top,Forecast record,Guest / pessimistic forecasters,Skeptical,Prediction accuracy,Dismisses persistent bearish forecasting as unreliable.,The alleged accuracy rate is rhetorical and unverified.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzdXiHACkb7m-2MAbJ4AaABAg
youtube,UgzppLnXrIyt4hfXrEF4AaABAg,99,top,Product mention,Host appearance / product,Apparently approving,Commercial product reference,Mentions an unrelated branded product while praising appearance.,Possible promotional content; not enough evidence to label the author a bot.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzppLnXrIyt4hfXrEF4AaABAg
youtube,UgwOC_3Ki6x9B5dmUcZ4AaABAg,9,newest,Selective disagreement,Guest’s claims,Dismissive / mixed,Prior beliefs / personal judgment,Accepts some insights but rejects the climate framing.,"Climate characterization is the commenter’s claim, not this report’s.",https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgwOC_3Ki6x9B5dmUcZ4AaABAg
youtube,UgxFD-wYjDvskBNIzTd4AaABAg,14,newest,Inequality and responsibility,Policy / individuals,Argumentative,Personal discipline / political worldview,Attributes some hardship to individual choices and rejects redistribution.,Counterexample to treating economic frustration as one shared ideology.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxFD-wYjDvskBNIzTd4AaABAg
youtube,UgyeGFG-iyhf-YgWD_94AaABAg,20,newest,Practical usefulness,Guest / headline,Disappointment,Feasibility for ordinary careers,Finds the answer about building wealth impractical for established workers.,Concerns usefulness rather than whether a crash prediction is correct.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyeGFG-iyhf-YgWD_94AaABAg
youtube,Ugw-FLkCH5SffX2cJiJ4AaABAg,69,newest,Billionaire credibility,Guest,Distrust,Profit motive,Doubts that a billionaire would disclose honest advice.,"Motive attribution, not evidence of dishonesty.",https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugw-FLkCH5SffX2cJiJ4AaABAg
youtube,UgyZauI6FnC_4VZ0Put4AaABAg,92,newest,Advice versus actions,Guest,Skeptical,Apparent holdings contradiction,Raises the same US-tech-holdings objection as the Bilibili root.,Holdings and attribution are unverified.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyZauI6FnC_4VZ0Put4AaABAg
youtube,UgxKWfV1KZbLJXOrHat4AaABAg,94,newest,Guest competence and care,Guest,Admiration,Wisdom / concern for others,Strongly praises the conversation and the guest’s care.,Counterexample to treating Newest as uniformly hostile.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxKWfV1KZbLJXOrHat4AaABAg
