platform,id,sort,page,rank,text,published_label,reply_level,creator,likes_display,replies_display,url,primary_topic,primary_topic_label,language,in_top,in_newest
youtube,UgyAeqpZDAbMBsNX_-t4AaABAg,top,2,21,看得出来，真正喜欢航海的不多,2 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyAeqpZDAbMBsNX_-t4AaABAg,criticism,"Criticism, correction or risk warning",Chinese (including mixed terms),True,True
youtube,Ugx-xOzKyrC2Qv49ToR4AaABAg,top,4,69,这是什么船？ 好像没人关心。 Garcia Exploration 52 ？,2 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugx-xOzKyrC2Qv49ToR4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgwhuhRug1FUz9IpDvB4AaABAg,top,1,17,謝謝你讓我堅持要努力賺錢實現財富自由然後環遊世界,2 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwhuhRug1FUz9IpDvB4AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
youtube,Ugwmc8fSgwCEuH49Am14AaABAg,top,4,66,晚上夜航超累，每3小时轮班。。。为什么要夜航？因为如果要跨洋或者远距离航行，不得不夜航。海上根本没法着锚。,3 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugwmc8fSgwCEuH49Am14AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,Ugzu-aJE2wtVeS8ggx14AaABAg,top,3,51,2:10 两位打窝中。,3 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugzu-aJE2wtVeS8ggx14AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,Ugx3Rs6YoCiU4g11wSh4AaABAg,top,3,55,太棒了 我觉得我可以。。。因为我有200多斤。。。。 能拉得动,3 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugx3Rs6YoCiU4g11wSh4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,UgzSqqgyM_VToBKy6b94AaABAg,top,2,31,我还以为是航海教学呢。,4 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzSqqgyM_VToBKy6b94AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgyQe7gFHeKFrpSK2fJ4AaABAg,top,2,39,第一次看非常喜欢你们视频，希望有天可以像你们一样用帆船⛵️环游世界。,5 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyQe7gFHeKFrpSK2fJ4AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
youtube,UgwHw3zyLoowwZGnkSR4AaABAg,newest,2,23,小鹿辛苦了❤️，感谢大家给小鹿点赞、订阅-_-,5 months ago,0,False,2,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwHw3zyLoowwZGnkSR4AaABAg,community,Community support or minimal response,Chinese (including mixed terms),False,True
youtube,UgwGI1f11AoeSI0HggF4AaABAg,top,5,83,他们环球到哪了，有视频号吗,6 months ago (edited),0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwGI1f11AoeSI0HggF4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgygZ5AEqNl79sZb2ct4AaABAg,top,3,60,伙食是一点都不马虎:face-fuchsia-tongue-out:,6 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgygZ5AEqNl79sZb2ct4AaABAg,observation,"Travel, food or boat observations",Chinese (including mixed terms),True,True
youtube,UgzRKxGv4JKFFZia2gZ4AaABAg,top,4,62,这船可以利用太阳能储能航行么？:face-blue-wide-eyes:,6 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzRKxGv4JKFFZia2gZ4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgztRMHIIyPc-JXucyd4AaABAg,newest,2,27,看见中国国旗一阵恶心,6 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgztRMHIIyPc-JXucyd4AaABAg,flag,National flag / political identity,Chinese (including mixed terms),False,True
youtube,UgwRQdU8g6afXRbj3IB4AaABAg,newest,2,28,感谢小鹿，小鹿讲得太透彻了，脑洞大开！-_-,6 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwRQdU8g6afXRbj3IB4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),False,True
youtube,UgyvxJi0m61xQkkBpOB4AaABAg,top,4,80,帶著五星紅旗別在世界各地搞亂就好了,6 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyvxJi0m61xQkkBpOB4AaABAg,flag,National flag / political identity,Chinese (including mixed terms),True,True
youtube,UgxgOn48YxTFsdsdnIR4AaABAg,top,4,65,那个男的是长安十二时辰里的演员吗？,6 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxgOn48YxTFsdsdnIR4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,UgxdiyHsKwTzAqdGXu54AaABAg,top,4,68,这买一艘这样的船要多少钱啊？,6 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxdiyHsKwTzAqdGXu54AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgxMtxj6pUQvqs6P66N4AaABAg,top,2,23,祝每个人的旅途都顺顺利利,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxMtxj6pUQvqs6P66N4AaABAg,community,Community support or minimal response,Chinese (including mixed terms),True,True
youtube,UgxmnyXAUWcgd3IzGpB4AaABAg,top,1,11,"天賦點點的不一樣😂
米哥不會高反，鹿哥不會暈船
您們美學及幽默值得百萭❤",7 months ago (edited),0,False,2,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxmnyXAUWcgd3IzGpB4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,Ugw2fznPTwR2lfYgSqx4AaABAg,top,2,27,每个人都好酷！,7 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugw2fznPTwR2lfYgSqx4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgwSlriTtvitGhRdEM14AaABAg,top,1,19,哈哈哈~~這船長實在太有趣了:face-green-smiling::face-green-smiling::face-green-smiling:,7 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwSlriTtvitGhRdEM14AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgxhrnAAH3HcOSo-dwV4AaABAg,top,2,29,土豆配Mojo酱,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxhrnAAH3HcOSo-dwV4AaABAg,observation,"Travel, food or boat observations",Chinese (including mixed terms),True,True
youtube,UgwGvSHP3TDZz3VlLM94AaABAg,top,2,30,加纳利的土豆超级好吃，一定要吃,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwGvSHP3TDZz3VlLM94AaABAg,observation,"Travel, food or boat observations",Chinese (including mixed terms),True,True
youtube,Ugwcre8aXLkSn6Xxh3t4AaABAg,top,3,56,我去了50次Gran Canaria,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugwcre8aXLkSn6Xxh3t4AaABAg,observation,"Travel, food or boat observations",Chinese (including mixed terms),True,True
youtube,Ugyy7itqHvSdhxbD3T94AaABAg,top,1,12,以前一直想买条双体的catamaran到处去旅游，还好现在找到了更有意义的事。。。,7 months ago,0,False,4,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugyy7itqHvSdhxbD3T94AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
youtube,UgxHOcd6Tmy-5qlbR-h4AaABAg,top,1,14,他爱人，实在是太漂亮了，如果不是他爱人，他这支影片我只有30%的兴趣，怎么办广大评友，我是不是没救了！呜呜呜~~~,7 months ago,0,False,8,1,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxHOcd6Tmy-5qlbR-h4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgxFZNb8-wI11U5HK8R4AaABAg,top,4,79,扯什么三毛...倒是这一船水手足够优秀。,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxFZNb8-wI11U5HK8R4AaABAg,criticism,"Criticism, correction or risk warning",Chinese (including mixed terms),True,True
youtube,Ugw6g4hJQHeR40AVXYZ4AaABAg,top,3,42,卧槽！加西亚！,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugw6g4hJQHeR40AVXYZ4AaABAg,observation,"Travel, food or boat observations",Chinese (including mixed terms),True,True
youtube,UgwI7F4whs_WNndaYoN4AaABAg,newest,3,43,装逼是认真,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwI7F4whs_WNndaYoN4AaABAg,criticism,"Criticism, correction or risk warning",Chinese (including mixed terms),False,True
youtube,UgwlPwva6UfFFL2oGn54AaABAg,top,3,41,妞漂亮,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwlPwva6UfFFL2oGn54AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgxMYT7dhd6R8yfd6NR4AaABAg,top,4,63,這些海賊王的卡也是AI生成的嗎，笑死了好傳神😂,7 months ago,0,False, ,1,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxMYT7dhd6R8yfd6NR4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,UgwImiNeUQikg6Sb3bx4AaABAg,top,3,49,thanks for sharing a different experience!,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwImiNeUQikg6Sb3bx4AaABAg,appreciation,"Appreciation of filming, people or experience",English,True,True
youtube,UgztAT45wwFZcjFuQN94AaABAg,top,2,32,建议考察一下伯克利环球帆船赛，更加震撼,7 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgztAT45wwFZcjFuQN94AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgyoiSxdic-YPL2y7Lp4AaABAg,top,3,54,酷炫。他们有自己的channel吗？,8 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyoiSxdic-YPL2y7Lp4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,Ugw8ePkdeJ8kKv4hfLd4AaABAg,top,2,38,這集太好看啦啦啦~~~~~~~~~~~~,8 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugw8ePkdeJ8kKv4hfLd4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgxKsZYDucyP74R27Yx4AaABAg,top,2,35,太美了，感觉莫名的激动，谢谢分享。,8 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxKsZYDucyP74R27Yx4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgwczLaRo9TnK3Gjxsx4AaABAg,top,2,36,你們的人生 真的好棒喔,8 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwczLaRo9TnK3Gjxsx4AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
youtube,Ugxb8x5opj9WIJzwNT94AaABAg,top,2,40,因为这篇记录，果断关注,8 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugxb8x5opj9WIJzwNT94AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgxFjzssSv656SxIcRV4AaABAg,top,3,57,潜水的老兄，上海人吧？,8 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxFjzssSv656SxIcRV4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,UgzMZDQgIYGfeCrgHFp4AaABAg,top,3,53,我就住在你们北边的葡萄牙马德拉岛,8 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzMZDQgIYGfeCrgHFp4AaABAg,observation,"Travel, food or boat observations",Chinese (including mixed terms),True,True
youtube,UgxwUQrcYNnxbf85MrF4AaABAg,top,4,76,请问资金是如何解决的？,8 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxwUQrcYNnxbf85MrF4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgyLDvP2qSo3-8rHYTx4AaABAg,top,4,77,请问这种帆船得需要多少钱？,8 months ago,0,False, ,1,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyLDvP2qSo3-8rHYTx4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgwwZ8ygh-v_6pw3IwJ4AaABAg,top,3,58,"国旗，人家都说了“yes, I have.""",8 months ago,0,False,4,1,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwwZ8ygh-v_6pw3IwJ4AaABAg,flag,National flag / political identity,Chinese (including mixed terms),True,True
youtube,UgyZoIx-UZbClkIm63F4AaABAg,top,4,71,请问博主这个action6固定的配件有链接吗谢谢？,8 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyZoIx-UZbClkIm63F4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,Ugwmr-T-NrJaJDSuC0V4AaABAg,top,4,73,就想问一个问题 海上有网吗？稳定吗？快不快信号是都有吗？,9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugwmr-T-NrJaJDSuC0V4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgyuRdZXooHRjzBPHqZ4AaABAg,newest,3,60,这女主怎么跟个神经病似的 一集说了好几次睿智言论,9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyuRdZXooHRjzBPHqZ4AaABAg,criticism,"Criticism, correction or risk warning",Chinese (including mixed terms),False,True
youtube,Ugw11T3ezA7BFU5qLRF4AaABAg,top,3,45,这一船的，每个人都很有意思,9 months ago,0,False,3,1,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugw11T3ezA7BFU5qLRF4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,Ugz3TdMN58AfihBNNo14AaABAg,top,3,44,哇居然油管也有❤,9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugz3TdMN58AfihBNNo14AaABAg,community,Community support or minimal response,Chinese (including mixed terms),True,True
youtube,Ugz4rltHq5pf9IubVtd4AaABAg,top,2,28,視頻拍的太有質感了,9 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugz4rltHq5pf9IubVtd4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,Ugzr-2j1cvOEeIKWUaF4AaABAg,top,2,26,船帅！人帅！视频帅！,9 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugzr-2j1cvOEeIKWUaF4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgzCyoWpfsTl7_kd2814AaABAg,newest,4,65,拍得真好，每一分秒都精彩无比。,9 months ago,0,False,2,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzCyoWpfsTl7_kd2814AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),False,True
youtube,UgxLvBRa7IFtZEnX-xV4AaABAg,newest,4,66,"01:13
全世界只有小粉紅、吃愛國飯的人
才會開口閉口的國旗😆
難怪大陸人去哪都被歧視",9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxLvBRa7IFtZEnX-xV4AaABAg,flag,National flag / political identity,Chinese (including mixed terms),False,True
youtube,Ugyv978ljZVhouD_jZR4AaABAg,top,4,78,刚有一个船被拆了的。麦哲伦也是被当地人弄死的。,9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugyv978ljZVhouD_jZR4AaABAg,criticism,"Criticism, correction or risk warning",Chinese (including mixed terms),True,True
youtube,UgxxK9cJSS9zLYg0-FV4AaABAg,top,5,81,啊啊啊啊啊，嫂子好美啊，大长腿,9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxxK9cJSS9zLYg0-FV4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgxMC-F0lncgYCttXT94AaABAg,top,2,25,见过船主好几次,9 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxMC-F0lncgYCttXT94AaABAg,observation,"Travel, food or boat observations",Chinese (including mixed terms),True,True
youtube,Ugwe5Cg7az03ea8-gkh4AaABAg,top,1,16,他們真的有大海般寬闊的心胸和志向,9 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugwe5Cg7az03ea8-gkh4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgzzeqYtigkatljg2_t4AaABAg,top,3,43,別努力原理.....哈哈哈,9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzzeqYtigkatljg2_t4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,UgyvaI8j3jS3vYnvoY14AaABAg,newest,4,72,小鹿另一半 看起來蠻討厭的~~,9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyvaI8j3jS3vYnvoY14AaABAg,criticism,"Criticism, correction or risk warning",Chinese (including mixed terms),False,True
youtube,Ugzh6cH-NFcGKK4Z_AV4AaABAg,top,2,22,这一期真的令人心驰神往,9 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugzh6cH-NFcGKK4Z_AV4AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
youtube,Ugzz8Oguq0yT0G1u_2Z4AaABAg,top,3,50,"超級讚的一集 !!!
有趣
景美~~",9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugzz8Oguq0yT0G1u_2Z4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgzzffBr5x50uQAP4VF4AaABAg,top,1,13,作为一名海贼迷 又常看你们的视频，这集真的看到鸡皮疙瘩！！！！ 🥺😲,9 months ago,0,False,6,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzzffBr5x50uQAP4VF4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,UgzlSUxfKzckYFh-odN4AaABAg,top,1,18,"美哭了！真的美哭了！一如既往的高质量大片。
船上的美食看得我一个在陆地的都流口水了。",9 months ago,0,False,2,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzlSUxfKzckYFh-odN4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,Ugx3hzeCHIs9lqciQKd4AaABAg,top,3,47,太精彩了,9 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugx3hzeCHIs9lqciQKd4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,Ugzd7rehpBuzP4cG_NB4AaABAg,top,3,48,厉害👍👍👍,9 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugzd7rehpBuzP4cG_NB4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgwJGOsrpMqZdT_hp4d4AaABAg,top,2,34,Garcia 52 船主NB,9 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwJGOsrpMqZdT_hp4d4AaABAg,observation,"Travel, food or boat observations",Chinese (including mixed terms),True,True
youtube,Ugyn6hlGEr2nwE9-1Ft4AaABAg,top,3,59,问过ChatGPT，三毛没说过：远方不是物理意义上的远方。。。。,9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugyn6hlGEr2nwE9-1Ft4AaABAg,criticism,"Criticism, correction or risk warning",Chinese (including mixed terms),True,True
youtube,UgyQPNPT77V-rDDQmmV4AaABAg,top,1,9,搭配著OnePiece的BGM，這航海的影片真是好看,9 months ago,0,False,9,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyQPNPT77V-rDDQmmV4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,UgxEXlgFLHzmHR7HoxN4AaABAg,top,2,33,小米每次坐船必然晕船 XD,9 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxEXlgFLHzmHR7HoxN4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,UgyxYPPD0_aMZOFnhfN4AaABAg,top,3,46,好好好❤,9 months ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyxYPPD0_aMZOFnhfN4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgxWgj34-C89DgXSIsF4AaABAg,top,1,4,這什麼影片，既然默默地花了我三十分鐘一秒沒放過的看完了，太精彩了。,9 months ago,0,False,10,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxWgj34-C89DgXSIsF4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,UgzoQYjq1d1_Tud7KYN4AaABAg,top,1,6,看你们的求婚视频都没有哭，但是今天我真的看哭了，想想自己，36岁，一事无成，加班加到半夜看到他们的故事，他们的冒险。我到底在干什么啊，真的好羡慕他们的，有些事不是有钱就能成的，一群志同道合的朋友，一段故事，终其一生做一件强大的事，死而无憾。,9 months ago,0,False,90,7,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzoQYjq1d1_Tud7KYN4AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
